Year,Geography,Fuel type,Demand characteristics,Unit of measure,Value
2018,Northwest Territories,Total primary and secondary energy,Residential,Terajoules,1228.0
2019,Northwest Territories,Total primary and secondary energy,Residential,Terajoules,1010.0
2015,Northwest Territories,Total primary and secondary energy,Public administration,Terajoules,301.0
2016,Northwest Territories,Total primary and secondary energy,Public administration,Terajoules,730.0
2017,Northwest Territories,Total primary and secondary energy,Public administration,Terajoules,1568.0
2018,Northwest Territories,Total primary and secondary energy,Public administration,Terajoules,1420.0
2019,Northwest Territories,Total primary and secondary energy,Public administration,Terajoules,1490.0
2015,Northwest Territories,Total primary and secondary energy,Commercial and other institutional,Terajoules,4537.0
2016,Northwest Territories,Total primary and secondary energy,Commercial and other institutional,Terajoules,4752.0
2017,Northwest Territories,Total primary and secondary energy,Commercial and other institutional,Terajoules,1761.0
2018,Northwest Territories,Total primary and secondary energy,Commercial and other institutional,Terajoules,2972.0
2019,Northwest Territories,Total primary and secondary energy,Commercial and other institutional,Terajoules,2054.0
2015,Northwest Territories,Natural gas,"Energy use, final demand",Terajoules,3104.0
2016,Northwest Territories,Natural gas,"Energy use, final demand",Terajoules,3489.0
2017,Northwest Territories,Natural gas,"Energy use, final demand",Terajoules,352.0
2018,Northwest Territories,Natural gas,"Energy use, final demand",Terajoules,1426.0
2019,Northwest Territories,Natural gas,"Energy use, final demand",Terajoules,91.0
2015,Northwest Territories,Natural gas,Total industrial,Terajoules,0.0
2016,Northwest Territories,Natural gas,Total industrial,Terajoules,0.0
2017,Northwest Territories,Natural gas,Total industrial,Terajoules,0.0
2018,Northwest Territories,Natural gas,Total industrial,Terajoules,0.0
2019,Northwest Territories,Natural gas,Total industrial,Terajoules,1.0
2015,Northwest Territories,Natural gas,Residential,Terajoules,86.0
2016,Northwest Territories,Natural gas,Residential,Terajoules,105.0
2017,Northwest Territories,Natural gas,Residential,Terajoules,75.0
2018,Northwest Territories,Natural gas,Residential,Terajoules,86.0
2019,Northwest Territories,Natural gas,Residential,Terajoules,63.0
2015,Northwest Territories,Natural gas,Commercial and other institutional,Terajoules,3018.0
2016,Northwest Territories,Natural gas,Commercial and other institutional,Terajoules,3384.0
2017,Northwest Territories,Natural gas,Commercial and other institutional,Terajoules,277.0
2018,Northwest Territories,Natural gas,Commercial and other institutional,Terajoules,1339.0
2019,Northwest Territories,Natural gas,Commercial and other institutional,Terajoules,27.0
2015,Northwest Territories,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,556.0
2016,Northwest Territories,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,544.0
2017,Northwest Territories,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,503.0
2018,Northwest Territories,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,751.0
2019,Northwest Territories,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,993.0
2015,Northwest Territories,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,198.0
2016,Northwest Territories,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,194.0
2017,Northwest Territories,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,178.0
2018,Northwest Territories,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,263.0
2019,Northwest Territories,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,348.0
2015,Northwest Territories,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,6.0
2016,Northwest Territories,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,6.0
2017,Northwest Territories,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,5.0
2018,Northwest Territories,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,8.0
2019,Northwest Territories,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,10.0
2015,Northwest Territories,Gas plant natural gas liquids (NGL's),Residential,Terajoules,133.0
2016,Northwest Territories,Gas plant natural gas liquids (NGL's),Residential,Terajoules,130.0
2017,Northwest Territories,Gas plant natural gas liquids (NGL's),Residential,Terajoules,121.0
2018,Northwest Territories,Gas plant natural gas liquids (NGL's),Residential,Terajoules,180.0
2019,Northwest Territories,Gas plant natural gas liquids (NGL's),Residential,Terajoules,238.0
2015,Northwest Territories,Gas plant natural gas liquids (NGL's),Public administration,Terajoules,
2016,Northwest Territories,Gas plant natural gas liquids (NGL's),Public administration,Terajoules,
2015,Northwest Territories,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,219.0
2016,Northwest Territories,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,215.0
2017,Northwest Territories,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,196.0
2018,Northwest Territories,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,293.0
2019,Northwest Territories,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,387.0
2015,Northwest Territories,Hydroelectricity,"Energy use, final demand",Terajoules,1097.0
2016,Northwest Territories,Hydroelectricity,"Energy use, final demand",Terajoules,1207.0
2017,Northwest Territories,Hydroelectricity,"Energy use, final demand",Terajoules,1072.0
2018,Northwest Territories,Hydroelectricity,"Energy use, final demand",Terajoules,1093.0
2019,Northwest Territories,Hydroelectricity,"Energy use, final demand",Terajoules,1095.0
2015,Northwest Territories,Hydroelectricity,Total industrial,Terajoules,24.0
2016,Northwest Territories,Hydroelectricity,Total industrial,Terajoules,20.0
2017,Northwest Territories,Hydroelectricity,Total industrial,Terajoules,15.0
2018,Northwest Territories,Hydroelectricity,Total industrial,Terajoules,19.0
2019,Northwest Territories,Hydroelectricity,Total industrial,Terajoules,21.0
2015,Northwest Territories,Hydroelectricity,Residential,Terajoules,397.0
2016,Northwest Territories,Hydroelectricity,Residential,Terajoules,437.0
2017,Northwest Territories,Hydroelectricity,Residential,Terajoules,386.0
2018,Northwest Territories,Hydroelectricity,Residential,Terajoules,390.0
2019,Northwest Territories,Hydroelectricity,Residential,Terajoules,386.0
2015,Northwest Territories,Hydroelectricity,Public administration,Terajoules,131.0
2016,Northwest Territories,Hydroelectricity,Public administration,Terajoules,132.0
2017,Northwest Territories,Hydroelectricity,Public administration,Terajoules,135.0
2018,Northwest Territories,Hydroelectricity,Public administration,Terajoules,111.0
2019,Northwest Territories,Hydroelectricity,Public administration,Terajoules,116.0
2015,Northwest Territories,Hydroelectricity,Commercial and other institutional,Terajoules,545.0
2016,Northwest Territories,Hydroelectricity,Commercial and other institutional,Terajoules,618.0
2017,Northwest Territories,Hydroelectricity,Commercial and other institutional,Terajoules,536.0
2018,Northwest Territories,Hydroelectricity,Commercial and other institutional,Terajoules,574.0
2019,Northwest Territories,Hydroelectricity,Commercial and other institutional,Terajoules,572.0
2015,Northwest Territories,Total refined petroleum products,"Energy use, final demand",Terajoules,16213.0
2016,Northwest Territories,Total refined petroleum products,"Energy use, final demand",Terajoules,14927.0
2017,Northwest Territories,Total refined petroleum products,"Energy use, final demand",Terajoules,13744.0
2018,Northwest Territories,Total refined petroleum products,"Energy use, final demand",Terajoules,13380.0
2019,Northwest Territories,Total refined petroleum products,"Energy use, final demand",Terajoules,13439.0
2015,Northwest Territories,Total refined petroleum products,Total industrial,Terajoules,8272.0
2016,Northwest Territories,Total refined petroleum products,Total industrial,Terajoules,6493.0
2017,Northwest Territories,Total refined petroleum products,Total industrial,Terajoules,5544.0
2018,Northwest Territories,Total refined petroleum products,Total industrial,Terajoules,5445.0
2019,Northwest Territories,Total refined petroleum products,Total industrial,Terajoules,5318.0
2015,Northwest Territories,Total refined petroleum products,Total transportation,Terajoules,5856.0
2016,Northwest Territories,Total refined petroleum products,Total transportation,Terajoules,6575.0
2017,Northwest Territories,Total refined petroleum products,Total transportation,Terajoules,5514.0
2018,Northwest Territories,Total refined petroleum products,Total transportation,Terajoules,5287.0
2019,Northwest Territories,Total refined petroleum products,Total transportation,Terajoules,5357.0
2015,Northwest Territories,Total refined petroleum products,Agriculture,Terajoules,0.0
2016,Northwest Territories,Total refined petroleum products,Agriculture,Terajoules,0.0
2017,Northwest Territories,Total refined petroleum products,Agriculture,Terajoules,0.0
2018,Northwest Territories,Total refined petroleum products,Agriculture,Terajoules,0.0
2019,Northwest Territories,Total refined petroleum products,Agriculture,Terajoules,0.0
2015,Northwest Territories,Total refined petroleum products,Residential,Terajoules,1160.0
2016,Northwest Territories,Total refined petroleum products,Residential,Terajoules,727.0
2017,Northwest Territories,Total refined petroleum products,Residential,Terajoules,499.0
2018,Northwest Territories,Total refined petroleum products,Residential,Terajoules,572.0
2019,Northwest Territories,Total refined petroleum products,Residential,Terajoules,323.0
2015,Northwest Territories,Total refined petroleum products,Public administration,Terajoules,170.0
2016,Northwest Territories,Total refined petroleum products,Public administration,Terajoules,597.0
2017,Northwest Territories,Total refined petroleum products,Public administration,Terajoules,1434.0
2018,Northwest Territories,Total refined petroleum products,Public administration,Terajoules,1309.0
2019,Northwest Territories,Total refined petroleum products,Public administration,Terajoules,1374.0
2015,Northwest Territories,Total refined petroleum products,Commercial and other institutional,Terajoules,755.0
2016,Northwest Territories,Total refined petroleum products,Commercial and other institutional,Terajoules,536.0
2017,Northwest Territories,Total refined petroleum products,Commercial and other institutional,Terajoules,753.0
2018,Northwest Territories,Total refined petroleum products,Commercial and other institutional,Terajoules,766.0
2019,Northwest Territories,Total refined petroleum products,Commercial and other institutional,Terajoules,1067.0
2015,Nunavut,Total primary and secondary energy,"Energy use, final demand",Terajoules,7306.0
2016,Nunavut,Total primary and secondary energy,"Energy use, final demand",Terajoules,6867.0
2017,Nunavut,Total primary and secondary energy,"Energy use, final demand",Terajoules,6358.0
2018,Nunavut,Total primary and secondary energy,"Energy use, final demand",Terajoules,5839.0
2019,Nunavut,Total primary and secondary energy,"Energy use, final demand",Terajoules,5516.0
2015,Nunavut,Total primary and secondary energy,Total industrial,Terajoules,1536.0
2016,Nunavut,Total primary and secondary energy,Total industrial,Terajoules,2168.0
2017,Nunavut,Total primary and secondary energy,Total industrial,Terajoules,2057.0
2018,Nunavut,Total primary and secondary energy,Total industrial,Terajoules,1726.0
2019,Nunavut,Total primary and secondary energy,Total industrial,Terajoules,1545.0
2015,Nunavut,Total primary and secondary energy,Total transportation,Terajoules,4253.0
2016,Nunavut,Total primary and secondary energy,Total transportation,Terajoules,2780.0
2017,Nunavut,Total primary and secondary energy,Total transportation,Terajoules,2472.0
2018,Nunavut,Total primary and secondary energy,Total transportation,Terajoules,2446.0
2019,Nunavut,Total primary and secondary energy,Total transportation,Terajoules,2379.0
2015,Nunavut,Total primary and secondary energy,Agriculture,Terajoules,138.0
2016,Nunavut,Total primary and secondary energy,Agriculture,Terajoules,192.0
2017,Nunavut,Total primary and secondary energy,Agriculture,Terajoules,184.0
2018,Nunavut,Total primary and secondary energy,Agriculture,Terajoules,146.0
2019,Nunavut,Total primary and secondary energy,Agriculture,Terajoules,129.0
2015,Nunavut,Total primary and secondary energy,Residential,Terajoules,241.0
2016,Nunavut,Total primary and secondary energy,Residential,Terajoules,240.0
2017,Nunavut,Total primary and secondary energy,Residential,Terajoules,241.0
